;0_80410_sms_viber_cg;1_80410_sms_viber_cg
total_group_size;64992;16000
supplier_fin;90040.5;0.0
supplier_fin / total_group_size;1.3854089734121122;0.0
total_communications;60027;0
sms_costs;64266.59999999984;0.0
viber_costs;24299.879999999943;0.0
email_costs;0.0;0.0
communication_costs;88566.47999999975;0.0
communication_costs / total_group_size;1.3627289512555352;0.0
communication_costs + points_delta_with_redemption;46001.55599999972;-19905.513000000003
accrued_points;918732.9000000004;224694.79999999996
spent_points;967658.1000000004;247574.7
accrued_exp_points;62313.80000000001;15326.600000000004
spent_exp_points;40475.00000000001;10465.1
points_delta_with_redemption;-42564.92400000003;-19905.513000000003
exp_points_delta_with_redemption;18999.755999999998;4229.5049999999965
num_visits;184072;45213
num_unique_visits;56218;13846
rto_novat;100793348.92000002;24942829.059999995
quantity;1661415.5480000007;407116.67499999976
front_margin_novat;25978651.850000016;6468308.500000003
front_margin_novat_wo_comm;25890085.36999998;6468308.500000003
commercial_front_margin_novat;26021216.774000008;6488214.013000001
ebitda;25932650.293999996;6488214.013000001
supplier_fin_ebitda;26022690.793999996;6488214.013000001
categories_items_num_visits;31402;7771
categories_items_num_unique_visits;20636;5079
categories_items_rto_novat;3692643.179999997;881350.3099999998
categories_items_quantity;183048.0;43660.0
categories_items_front_margin_novat;72136.80999999997;12584.18999999998
categories_items_front_margin_novat_wo_comm;-16429.66999999996;12584.18999999998
categories_items_commercial_front_margin_novat;114701.73399999998;32489.702999999994
categories_items_ebitda;26135.25399999988;32489.702999999994
categories_items_supplier_fin_ebitda;116175.75399999984;32489.702999999994
experiment_items_num_visits;92;12
experiment_items_num_unique_visits;69;12
experiment_items_rto_novat;2335.810000000001;400.74
experiment_items_quantity;222.0;32.0
experiment_items_front_margin_novat;397.5899999999998;121.32999999999998
experiment_items_front_margin_novat_wo_comm;-88168.88999999971;121.32999999999998
experiment_items_commercial_front_margin_novat;42962.51400000005;20026.843
experiment_items_ebitda;-45603.96600000008;20026.843
experiment_items_supplier_fin_ebitda;44436.53399999992;20026.843
mean_effect_categories_items_num_unique_visits;-8.193363412725823e-05;
effect_left_bound_categories_items_num_unique_visits;-0.006928903164504149;
effect_right_bound_categories_items_num_unique_visits;0.006711202379822283;
mean_effect_categories_items_num_unique_visits * total_group_size;-5.0;
control_metric_means_categories_items_num_unique_visits;0.3172902174594222;
target_metric_mean_categories_items_num_unique_visits;0.3174380407458244;
metric_pvalue_categories_items_num_unique_visits;0.47165;
metric_significance_categories_items_num_unique_visits;0.0;
mean_effect_categories_items_num_unique_visits * total_group_size / categories_items_num_unique_visits;-0.0002422950184144214;
mean_effect_categories_items_num_visits;-0.0019651205761796577;
effect_left_bound_categories_items_num_visits;-0.01576682565807832;
effect_right_bound_categories_items_num_visits;0.01130505084019537;
mean_effect_categories_items_num_visits * total_group_size;-127.0;
control_metric_means_categories_items_num_visits;0.4846775709719872;
target_metric_mean_categories_items_num_visits;0.48285806819759103;
metric_pvalue_categories_items_num_visits;0.45675;
metric_significance_categories_items_num_visits;0.0;
mean_effect_categories_items_num_visits * total_group_size / categories_items_num_visits;-0.00404432838672696;
mean_effect_categories_items_rto_novat;1.7792781886864146;
effect_left_bound_categories_items_rto_novat;-0.3324072326798404;
effect_right_bound_categories_items_rto_novat;3.816723219327746;
mean_effect_categories_items_rto_novat * total_group_size;115370.0;
control_metric_means_categories_items_rto_novat;54.94808359967413;
target_metric_mean_categories_items_rto_novat;56.76255239740288;
metric_pvalue_categories_items_rto_novat;0.14755000000000001;
metric_significance_categories_items_rto_novat;0.0;
mean_effect_categories_items_rto_novat * total_group_size / categories_items_rto_novat;0.031243202870199903;
mean_effect_categories_items_front_margin_novat;0.3197659767503143;
effect_left_bound_categories_items_front_margin_novat;0.058720894162674536;
effect_right_bound_categories_items_front_margin_novat;0.5854512380880165;
mean_effect_categories_items_front_margin_novat * total_group_size;20734.0;
control_metric_means_categories_items_front_margin_novat;0.8030964467005067;
target_metric_mean_categories_items_front_margin_novat;1.1225022747952673;
metric_pvalue_categories_items_front_margin_novat;0.051750000000000004;
metric_significance_categories_items_front_margin_novat;1.0;
mean_effect_categories_items_front_margin_novat * total_group_size / categories_items_front_margin_novat;0.2874260727636835;
mean_effect_categories_items_front_margin_novat_wo_comm;-1.0429528443659541;
effect_left_bound_categories_items_front_margin_novat_wo_comm;-1.3041484169213615;
effect_right_bound_categories_items_front_margin_novat_wo_comm;-0.7773787922939944;
mean_effect_categories_items_front_margin_novat_wo_comm * total_group_size;-67626.0;
control_metric_means_categories_items_front_margin_novat_wo_comm;0.8030964467005067;
target_metric_mean_categories_items_front_margin_novat_wo_comm;-0.24022254437778606;
metric_pvalue_categories_items_front_margin_novat_wo_comm;0.0;
metric_significance_categories_items_front_margin_novat_wo_comm;1.0;
mean_effect_categories_items_front_margin_novat_wo_comm * total_group_size / categories_items_front_margin_novat_wo_comm;-4.116089976244208;
mean_effect_categories_items_commercial_front_margin_novat;-0.20754558495409287;
effect_left_bound_categories_items_commercial_front_margin_novat;-1.0370823533160618;
effect_right_bound_categories_items_commercial_front_margin_novat;0.5717409862609365;
mean_effect_categories_items_commercial_front_margin_novat * total_group_size;-13457.0;
control_metric_means_categories_items_commercial_front_margin_novat;1.8487211881932686;
target_metric_mean_categories_items_commercial_front_margin_novat;1.620246233093258;
metric_pvalue_categories_items_commercial_front_margin_novat;0.4605;
metric_significance_categories_items_commercial_front_margin_novat;0.0;
mean_effect_categories_items_commercial_front_margin_novat * total_group_size / categories_items_commercial_front_margin_novat;-0.1173216788509928;
mean_effect_categories_items_ebitda;-1.5702644060703614;
effect_left_bound_categories_items_ebitda;-2.399653242105562;
effect_right_bound_categories_items_ebitda;-0.7909955847358089;
mean_effect_categories_items_ebitda * total_group_size;-101818.0;
control_metric_means_categories_items_ebitda;1.8487211881932686;
target_metric_mean_categories_items_ebitda;0.2575214139202043;
metric_pvalue_categories_items_ebitda;0.00115;
metric_significance_categories_items_ebitda;1.0;
mean_effect_categories_items_ebitda * total_group_size / categories_items_ebitda;-3.895810616571795;
mean_effect_categories_items_supplier_fin_ebitda;-0.18474148847192834;
effect_left_bound_categories_items_supplier_fin_ebitda;-1.0145562355819115;
effect_right_bound_categories_items_supplier_fin_ebitda;0.5953900003632283;
mean_effect_categories_items_supplier_fin_ebitda * total_group_size;-11979.0;
control_metric_means_categories_items_supplier_fin_ebitda;1.8487211881932686;
target_metric_mean_categories_items_supplier_fin_ebitda;1.6429873999475635;
metric_pvalue_categories_items_supplier_fin_ebitda;0.46965;
metric_significance_categories_items_supplier_fin_ebitda;0.0;
mean_effect_categories_items_supplier_fin_ebitda * total_group_size / categories_items_supplier_fin_ebitda;-0.10311101574602233;
mean_effect_experiment_items_num_unique_visits;0.000300246729327878;
effect_left_bound_experiment_items_num_unique_visits;-0.0001208310005677697;
effect_right_bound_experiment_items_num_unique_visits;0.000717996610539272;
mean_effect_experiment_items_num_unique_visits * total_group_size;19.0;
control_metric_means_experiment_items_num_unique_visits;0.0007520210565895845;
target_metric_mean_experiment_items_num_unique_visits;0.0010487191745963203;
metric_pvalue_experiment_items_num_unique_visits;0.2198;
metric_significance_experiment_items_num_unique_visits;0.0;
mean_effect_experiment_items_num_unique_visits * total_group_size / experiment_items_num_unique_visits;0.2753623188405797;
mean_effect_experiment_items_num_visits;0.0006636896126887144;
effect_left_bound_experiment_items_num_visits;0.00013788526607114417;
effect_right_bound_experiment_items_num_visits;0.0012230665772594224;
mean_effect_experiment_items_num_visits * total_group_size;43.0;
control_metric_means_experiment_items_num_visits;0.0007520210565895845;
target_metric_mean_experiment_items_num_visits;0.0014034330130627227;
metric_pvalue_experiment_items_num_visits;0.04335;
metric_significance_experiment_items_num_visits;1.0;
mean_effect_experiment_items_num_visits * total_group_size / experiment_items_num_visits;0.4673913043478261;
mean_effect_experiment_items_rto_novat;0.01119193070637606;
effect_left_bound_experiment_items_rto_novat;-0.004155180579465526;
effect_right_bound_experiment_items_rto_novat;0.02624413418825542;
mean_effect_experiment_items_rto_novat * total_group_size;726.0;
control_metric_means_experiment_items_rto_novat;0.025113743184809176;
target_metric_mean_experiment_items_rto_novat;0.03602365787079163;
metric_pvalue_experiment_items_rto_novat;0.22065;
metric_significance_experiment_items_rto_novat;0.0;
mean_effect_experiment_items_rto_novat * total_group_size / experiment_items_rto_novat;0.3108129513958754;
mean_effect_experiment_items_front_margin_novat;-0.001221149151367697;
effect_left_bound_experiment_items_front_margin_novat;-0.006219251628288508;
effect_right_bound_experiment_items_front_margin_novat;0.0032740977750137542;
mean_effect_experiment_items_front_margin_novat * total_group_size;-79.0;
control_metric_means_experiment_items_front_margin_novat;0.007603559566334523;
target_metric_mean_experiment_items_front_margin_novat;0.006401042550238274;
metric_pvalue_experiment_items_front_margin_novat;0.4782;
metric_significance_experiment_items_front_margin_novat;0.0;
mean_effect_experiment_items_front_margin_novat * total_group_size / experiment_items_front_margin_novat;-0.1986971503307428;
mean_effect_experiment_items_front_margin_novat_wo_comm;-1.3639399702676365;
effect_left_bound_experiment_items_front_margin_novat_wo_comm;-1.3689466037577236;
effect_right_bound_experiment_items_front_margin_novat_wo_comm;-1.3593661866721383;
mean_effect_experiment_items_front_margin_novat_wo_comm * total_group_size;-88439.0;
control_metric_means_experiment_items_front_margin_novat_wo_comm;0.007603559566334523;
target_metric_mean_experiment_items_front_margin_novat_wo_comm;-1.3563237766228153;
metric_pvalue_experiment_items_front_margin_novat_wo_comm;0.0;
metric_significance_experiment_items_front_margin_novat_wo_comm;1.0;
mean_effect_experiment_items_front_margin_novat_wo_comm * total_group_size / experiment_items_front_margin_novat_wo_comm;-1.0030635522348108;
mean_effect_experiment_items_commercial_front_margin_novat;-0.5285327108557749;
effect_left_bound_experiment_items_commercial_front_margin_novat;-1.2986582681050332;
effect_right_bound_experiment_items_commercial_front_margin_novat;0.2576409168938917;
mean_effect_experiment_items_commercial_front_margin_novat * total_group_size;-34271.0;
control_metric_means_experiment_items_commercial_front_margin_novat;1.0532283010590964;
target_metric_mean_experiment_items_commercial_front_margin_novat;0.5041450008482287;
metric_pvalue_experiment_items_commercial_front_margin_novat;0.26075;
metric_significance_experiment_items_commercial_front_margin_novat;0.0;
mean_effect_experiment_items_commercial_front_margin_novat * total_group_size / experiment_items_commercial_front_margin_novat;-0.7976954048824973;
mean_effect_experiment_items_ebitda;-1.8912515319720435;
effect_left_bound_experiment_items_ebitda;-2.6613894721271794;
effect_right_bound_experiment_items_ebitda;-1.1052455592554582;
mean_effect_experiment_items_ebitda * total_group_size;-122631.0;
control_metric_means_experiment_items_ebitda;1.0532283010590964;
target_metric_mean_experiment_items_ebitda;-0.8585798183248248;
metric_pvalue_experiment_items_ebitda;0.0001;
metric_significance_experiment_items_ebitda;1.0;
mean_effect_experiment_items_ebitda * total_group_size / experiment_items_ebitda;-2.689042439861476;
mean_effect_experiment_items_supplier_fin_ebitda;-0.5057286143736105;
effect_left_bound_experiment_items_supplier_fin_ebitda;-1.2737558760999739;
effect_right_bound_experiment_items_supplier_fin_ebitda;0.28142105600340594;
mean_effect_experiment_items_supplier_fin_ebitda * total_group_size;-32792.0;
control_metric_means_experiment_items_supplier_fin_ebitda;1.0532283010590964;
target_metric_mean_experiment_items_supplier_fin_ebitda;0.5268861677025344;
metric_pvalue_experiment_items_supplier_fin_ebitda;0.2782;
metric_significance_experiment_items_supplier_fin_ebitda;0.0;
mean_effect_experiment_items_supplier_fin_ebitda * total_group_size / experiment_items_supplier_fin_ebitda;-0.7379513442700112;
mean_effect_num_unique_visits;-0.00032487672176476556;
effect_left_bound_num_unique_visits;-0.005269685888573733;
effect_right_bound_num_unique_visits;0.004952755335333781;
mean_effect_num_unique_visits * total_group_size;-21.0;
control_metric_means_num_unique_visits;0.8650122203421696;
target_metric_mean_num_unique_visits;0.8646843817954689;
metric_pvalue_num_unique_visits;0.4962;
metric_significance_num_unique_visits;0.0;
mean_effect_num_unique_visits * total_group_size / num_unique_visits;-0.00037354583941086485;
mean_effect_num_visits;0.009668093756547319;
effect_left_bound_num_visits;-0.027225424133870815;
effect_right_bound_num_visits;0.043901836875209786;
mean_effect_num_visits * total_group_size;627.0;
control_metric_means_num_visits;2.8026571410666166;
target_metric_mean_num_visits;2.811554417729523;
metric_pvalue_num_visits;0.44389999999999996;
metric_significance_num_visits;0.0;
mean_effect_num_visits * total_group_size / num_visits;0.003406275805119736;
mean_effect_rto_novat;-4.076658613014267;
effect_left_bound_rto_novat;-29.411583624639388;
effect_right_bound_rto_novat;19.29035142427601;
mean_effect_rto_novat * total_group_size;-264335.0;
control_metric_means_rto_novat;1542.0158124960833;
target_metric_mean_rto_novat;1538.0549163338012;
metric_pvalue_rto_novat;0.49355000000000004;
metric_significance_rto_novat;0.0;
mean_effect_rto_novat * total_group_size / rto_novat;-0.002622544074905215;
mean_effect_front_margin_novat;-3.061130280237934;
effect_left_bound_front_margin_novat;-10.179064432986788;
effect_right_bound_front_margin_novat;3.9942275890295624;
mean_effect_front_margin_novat * total_group_size;-198487.0;
control_metric_means_front_margin_novat;400.4783298865702;
target_metric_mean_front_margin_novat;397.4784753473882;
metric_pvalue_front_margin_novat;0.40015;
metric_significance_front_margin_novat;0.0;
mean_effect_front_margin_novat * total_group_size / front_margin_novat;-0.007640388775601528;
mean_effect_front_margin_novat_wo_comm;-4.423849101354217;
effect_left_bound_front_margin_novat_wo_comm;-11.541850833566674;
effect_right_bound_front_margin_novat_wo_comm;2.631471215747313;
mean_effect_front_margin_novat_wo_comm * total_group_size;-286847.0;
control_metric_means_front_margin_novat_wo_comm;400.4783298865702;
target_metric_mean_front_margin_novat_wo_comm;396.11575052821513;
metric_pvalue_front_margin_novat_wo_comm;0.28465;
metric_significance_front_margin_novat_wo_comm;0.0;
mean_effect_front_margin_novat_wo_comm * total_group_size / front_margin_novat_wo_comm;-0.011079414992288233;
mean_effect_commercial_front_margin_novat;-3.5884418419423425;
effect_left_bound_commercial_front_margin_novat;-10.66815447084486;
effect_right_bound_commercial_front_margin_novat;3.4547495389116616;
mean_effect_commercial_front_margin_novat * total_group_size;-232678.0;
control_metric_means_commercial_front_margin_novat;401.52395462806294;
target_metric_mean_commercial_front_margin_novat;397.9762193056862;
metric_pvalue_commercial_front_margin_novat;0.35014999999999996;
metric_significance_commercial_front_margin_novat;0.0;
mean_effect_commercial_front_margin_novat * total_group_size / commercial_front_margin_novat;-0.00894185702462954;
mean_effect_ebitda;-4.951160663058621;
effect_left_bound_ebitda;-12.030962015453957;
effect_right_bound_ebitda;2.092088151826314;
mean_effect_ebitda * total_group_size;-321038.0;
control_metric_means_ebitda;401.52395462806294;
target_metric_mean_ebitda;396.61349448651316;
metric_pvalue_ebitda;0.23320000000000002;
metric_significance_ebitda;0.0;
mean_effect_ebitda * total_group_size / ebitda;-0.012379683386016204;
mean_effect_supplier_fin_ebitda;-3.5656377454601884;
effect_left_bound_supplier_fin_ebitda;-10.643491889958142;
effect_right_bound_supplier_fin_ebitda;3.478585892453384;
mean_effect_supplier_fin_ebitda * total_group_size;-231200.0;
control_metric_means_supplier_fin_ebitda;401.52395462806294;
target_metric_mean_supplier_fin_ebitda;397.99896047254055;
metric_pvalue_supplier_fin_ebitda;0.3523;
metric_significance_supplier_fin_ebitda;0.0;
mean_effect_supplier_fin_ebitda * total_group_size / supplier_fin_ebitda;-0.008884553939107148;
CR_buy (buyers / group_size);0.8649987690792713;0.865375
CR_buy_delta (CR_target - CR_control);-0.0003762309207286929;
CR_comm (communications / group_size);0.9236059822747416;
categories_items_CR_buy (buyers / group_size);0.31751600196947316;0.3174375
categories_items_CR_buy_delta (CR_target - CR_control);7.8501969473177e-05;
experiment_items_CR_buy (buyers / group_size);0.0010616691285081242;0.00075
experiment_items_CR_buy_delta (CR_target - CR_control);0.00031166912850812416;
meta_post_analysis;{'spark': <pyspark.sql.session.SparkSession object at 0x7f3dcc609150>, 'date_from': '2022-01-21', 'date_to': '2022-01-27', 'control_camp_wave_id': 80410, 'slip_check_date_from': '', 'slip_check_date_to': '', 'plu_list': ['4125613', '4125614'], 'synthetic_catalog_ids': [63], 'threshold_price': None, 'threshold_item_condition': 'plu_list', 'count_for_plu_list': 2, 'rto_for_plu_list': None, 'is_keep_only_first_buy_for_plu_list': False, 'metrics_for_stat_test': ['num_unique_visits', 'num_visits', 'rto_novat', 'front_margin_novat', 'front_margin_novat_wo_comm', 'commercial_front_margin_novat', 'ebitda', 'supplier_fin_ebitda'], 'stat_test': StatTestParams(boot_iter=1000, test_name='ttest', cutoff_prob=0.5, significant_level=0.05, include_cutoff_prob_for_significance=False, fraud_filter={'max_rto_per_week': 20000.0, 'max_nchecks_per_week': 30.0, 'min_fm_share_in_rto': -0.5}), '__initialised__': True};{'spark': <pyspark.sql.session.SparkSession object at 0x7f3dcc609150>, 'date_from': '2022-01-21', 'date_to': '2022-01-27', 'control_camp_wave_id': 80410, 'slip_check_date_from': '', 'slip_check_date_to': '', 'plu_list': ['4125613', '4125614'], 'synthetic_catalog_ids': [63], 'threshold_price': None, 'threshold_item_condition': 'plu_list', 'count_for_plu_list': 2, 'rto_for_plu_list': None, 'is_keep_only_first_buy_for_plu_list': False, 'metrics_for_stat_test': ['num_unique_visits', 'num_visits', 'rto_novat', 'front_margin_novat', 'front_margin_novat_wo_comm', 'commercial_front_margin_novat', 'ebitda', 'supplier_fin_ebitda'], 'stat_test': StatTestParams(boot_iter=1000, test_name='ttest', cutoff_prob=0.5, significant_level=0.05, include_cutoff_prob_for_significance=False, fraud_filter={'max_rto_per_week': 20000.0, 'max_nchecks_per_week': 30.0, 'min_fm_share_in_rto': -0.5}), '__initialised__': True}
meta_experiment_params;{'map_camp_wave_ids_to_suffixes': {80410: 'sms_viber_cg'}, 'date_communication_from': '2022-01-21', 'date_communication_to': '2022-01-27', 'wave_ids': [80516], 'communication_costs': {'sms': 1.38, 'viber': 1.32, 'email': 0.0083}, '__initialised__': True};{'map_camp_wave_ids_to_suffixes': {80410: 'sms_viber_cg'}, 'date_communication_from': '2022-01-21', 'date_communication_to': '2022-01-27', 'wave_ids': [80516], 'communication_costs': {'sms': 1.38, 'viber': 1.32, 'email': 0.0083}, '__initialised__': True}
